ID,Name,Cost_for_one,Cuisines,Rating
108,Barbeque Nation,100, Desserts,3.8
108,Barbeque Nation,100, Beverages,3.8
108,Barbeque Nation,100, Bar Food,3.8
109,Sardarji Londonwaley,100,North Indian,3.7
109,Sardarji Londonwaley,100, Chinese,3.7
109,Sardarji Londonwaley,100, Mughlai,3.7
110,Chowman,100,Chinese,4.1
110,Chowman,100, Asian,4.1
110,Chowman,100, Thai,4.1
110,Chowman,100, Oriental,4.1
110,Chowman,100, Seafood,4.1
110,Chowman,100, Sichuan,4.1
110,Chowman,100, Beverages,4.1
110,Chowman,100, Desserts,4.1
111,New Udupi Grand,100,South Indian,3.9
111,New Udupi Grand,100, North Indian,3.9
111,New Udupi Grand,100, Street Food,3.9
111,New Udupi Grand,100, Beverages,3.9
111,New Udupi Grand,100, Chinese,3.9
111,New Udupi Grand,100, Shake,3.9
112,The Dessert Heaven - Pure Veg,100,Desserts,4.3
112,The Dessert Heaven - Pure Veg,100, Bakery,4.3
113,Savoury Restaurant,100,Arabian,4
113,Savoury Restaurant,100, North Indian,4
113,Savoury Restaurant,100, Chinese,4
113,Savoury Restaurant,100, Seafood,4
113,Savoury Restaurant,100, Fast Food,4
113,Savoury Restaurant,100, Lebanese,4
113,Savoury Restaurant,100, Beverages,4
113,Savoury Restaurant,100, Desserts,4
114,FB Cakes,100,Bakery,3.9
114,FB Cakes,100, Desserts,3.9
115,Aubree,100,Bakery,4.3
115,Aubree,100, Fast Food,4.3
115,Aubree,100, Italian,4.3
115,Aubree,100, Thai,4.3
115,Aubree,100, Desserts,4.3
116,Just Bake,100,Bakery,4.2
117,Cream Stone Ice Cream,150,Ice Cream,4.1
117,Cream Stone Ice Cream,150, Desserts,4.1
117,Cream Stone Ice Cream,150, Beverages,4.1
117,Cream Stone Ice Cream,150, Shake,4.1
118,Puliyogare Point,150,South Indian,4.3
118,Puliyogare Point,150, Desserts,4.3
119,LunchBox - Meals and Thalis,150,North Indian,4.1
120,ibaco,150,Ice Cream,4.7
120,ibaco,150, Bakery,4.7
120,ibaco,150, Desserts,4.7
121,Ambur Biryani Point,150,Biryani,4.2
121,Ambur Biryani Point,150, Fast Food,4.2
